"DFC","CONTA","SUBCONTA"
"Despesa","Despesas Financeiras","Juros Pagos"
"Despesa","Despesas Financeiras","Juros Pagos"
"Despesa","Despesas Financeiras","Juros Pagos"
"Despesa","Despesas Financeiras","Juros Pagos"
"Despesa","Despesas Financeiras","Juros Pagos"
"Despesa","Despesas Financeiras","Juros Pagos"
"Despesa","Despesas Financeiras","Juros Pagos"
"Despesa","Despesas Financeiras","Juros Pagos"
"Despesa","Despesas Financeiras","Juros Pagos"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Despesas com Pessoal/ RH","Transporte Funcionario"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Contas de Consumo","Telefone/ Internet"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas Informatica","Locaçao Impressora"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","13º Salario"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Despesa","Despesas com Pessoal/ RH","Tarifa Reemissao Cartao"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Imposto","Impostos Estaduais","ICMS Mensal"
